id;createdTime;ESQUEMA;TABLA;ID_ORIGEN;MODELO
recoVI1E9jLnH4znI;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_aavanzada_rentapuntosquiero_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_aavanzada_rentapuntosquiero_vw;
recoas0CbFPq9bDuQ;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_salesorderitem_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_salesorderitem_vw;
recopdRDqQXREMmv0;2020-06-22T01:17:25.000Z;s3trusted;tb_naranja_ar_core_gestiones;s3trusted.tb_naranja_ar_core_gestiones;
recpcy93kVVTYgwBN;2020-06-22T01:17:25.000Z;core;/usr/cobol/salto/arch/mmail-log;core./usr/cobol/salto/arch/mmail-log;
recpvExH0QWzH3fuN;2020-06-22T01:17:25.000Z;s3raw;db_naranja_sap_raw/tb_procesos_acciones;s3raw.db_naranja_sap_raw/tb_procesos_acciones;
recrkUWuyvzF1tgkK;2020-06-22T01:17:25.000Z;core;/usr/cobol/salto/arch/mtransacciones;core./usr/cobol/salto/arch/mtransacciones;
recsIst7R46SzhBVg;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_core_disponibles_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_core_disponibles_vw;
recsVJ7oKFLiIEtER;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_auth0_userslogs_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_auth0_userslogs_vw;
rectMNF2dkljljFQU;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_ar_tarjetaspack_daily_snapshot_vw;dlanalytics.db_naranja_facts_analytics.tb_ar_tarjetaspack_daily_snapshot_vw;
rectuWeaLxZZqU5qL;2020-06-22T01:17:25.000Z;ics;COBRA.PAYMENT;ics.COBRA.PAYMENT;
