id;createdTime;ID_MEDICION;CODIGO_MODELO;METRICA;VALOR;FECHA_MEDICION;TIPO_CARGA
recJa8OXDv0408NkR;2020-06-06T21:25:24.000Z;102;['recSEwrC2O3ovnA5X'];['reclorU08L7PQsksS'];0.1721;2020-03-27T18:17:00.000Z;Manual
recKMfkgh5qYfpzqu;2020-06-06T21:26:03.000Z;124;['recSEwrC2O3ovnA5X'];['rec9RVJnupV6lA2mJ'];0.0386;2020-02-27T18:18:00.000Z;Manual
recKOOM8drClWTiMj;2020-06-09T20:48:11.000Z;185;['recSEwrC2O3ovnA5X'];['recasEDF0P6MHOt6p'];0.7925;2020-06-09T17:50:00.000Z;Manual
recLEOE868OpX8QbU;2020-06-06T21:25:24.000Z;99;['recSEwrC2O3ovnA5X'];['reclorU08L7PQsksS'];0.1805;2020-04-28T10:10:00.000Z;Manual
recM6bZJilQUT2A6u;2020-06-09T15:37:02.000Z;170;['rectvYjSSnda2KzFN'];['rec81xw5f1J3kCbSf'];68.6;2020-06-09T12:37:00.000Z;Manual
recMOnAq82Cr0Re3a;2020-06-06T21:25:24.000Z;100;['recSEwrC2O3ovnA5X'];['reclorU08L7PQsksS'];0.1708;2020-04-14T18:17:00.000Z;Manual
recMlosky7ygzqSYc;2020-06-06T21:26:03.000Z;127;['recSEwrC2O3ovnA5X'];['recuvTDABHnU7W5JX'];0.8714;2020-05-27T13:32:00.000Z;Manual
recMy9N77CWfOhM5z;2020-06-10T12:37:04.000Z;193;['recNErAHoNJWIdKcb'];['rec81xw5f1J3kCbSf'];83;2020-06-10T09:37:00.000Z;Manual
recN75OXFL5IAAMis;2020-06-06T21:25:58.000Z;120;['recSEwrC2O3ovnA5X'];['rec9RVJnupV6lA2mJ'];0.0383;2020-04-14T18:17:00.000Z;Manual
recNK3S3nqfDbhtEf;2020-06-06T21:26:03.000Z;132;['recSEwrC2O3ovnA5X'];['recuvTDABHnU7W5JX'];0.8317;2020-03-27T18:17:00.000Z;Manual
recNx2DtttMVeTp3R;2020-06-06T21:30:11.000Z;151;['recSEwrC2O3ovnA5X'];['rec1xistMWeE0KKml'];0.8578;2020-03-30T18:17:00.000Z;Manual
recOVE1qxB1cqsJFn;2020-05-20T00:45:14.000Z;71;['recryuNZFVbtSk92K'];['recKpmQWGIzF8Xjhh'];0.23;2020-04-29T21:45:00.000Z;Manual
recOYo6h1jTpoOJia;2020-05-09T15:51:40.000Z;25;['recSEwrC2O3ovnA5X'];['recasEDF0P6MHOt6p'];0.7321;2020-04-28T10:10:00.000Z;Manual
recPY4ZGDshpHOa9z;2020-06-06T21:30:11.000Z;155;['recSEwrC2O3ovnA5X'];['rec1xistMWeE0KKml'];0.808;2020-02-17T18:18:00.000Z;Manual
recPmyth4aRmLZ7ks;2020-05-20T00:47:42.000Z;73;['rectvYjSSnda2KzFN'];['recbKuTK5JC1pGKbk'];0.672;2020-03-25T21:48:00.000Z;Manual
recQ2lr4PSJHKqsbm;2020-06-06T21:25:58.000Z;121;['recSEwrC2O3ovnA5X'];['rec9RVJnupV6lA2mJ'];0.0384;2020-03-30T18:17:00.000Z;Manual
recQ7qkiUOXyujLsd;2020-06-06T21:26:07.000Z;146;['recSEwrC2O3ovnA5X'];['rec5h9Pn336ZrO9Fw'];0.7618;2020-01-29T18:18:00.000Z;Manual
recQ8NNmCubOip6Ap;2020-06-06T21:31:04.000Z;158;['recSEwrC2O3ovnA5X'];['recHUbKQOWpS6BYGz'];0.8304;2020-05-11T11:30:00.000Z;Manual
recQAHk15CZa3qU7m;2020-06-06T21:25:58.000Z;122;['recSEwrC2O3ovnA5X'];['rec9RVJnupV6lA2mJ'];0.0382;2020-03-27T18:17:00.000Z;Manual
recQion87jmwecrHq;2020-06-06T21:26:07.000Z;145;['recSEwrC2O3ovnA5X'];['rec5h9Pn336ZrO9Fw'];0.791;2020-02-17T18:18:00.000Z;Manual
recS8ATLwJevyh6Nl;2020-06-06T21:26:03.000Z;126;['recSEwrC2O3ovnA5X'];['rec9RVJnupV6lA2mJ'];0.0376;2020-01-29T18:18:00.000Z;Manual
recTIoO1zWkW2i0oY;2020-06-06T21:26:07.000Z;140;['recSEwrC2O3ovnA5X'];['rec5h9Pn336ZrO9Fw'];0.833;2020-04-14T18:17:00.000Z;Manual
recVU85xysq7gEI9p;2020-06-06T21:31:01.000Z;157;['recSEwrC2O3ovnA5X'];['recHUbKQOWpS6BYGz'];0.8202;2020-05-27T13:32:00.000Z;Manual
recWPVHOo1ulY7A7v;2020-06-06T21:30:06.000Z;147;['recSEwrC2O3ovnA5X'];['rec1xistMWeE0KKml'];0.8946;2020-05-27T13:32:00.000Z;Manual
recXGqx9ECEneuta4;2020-06-06T21:30:11.000Z;148;['recSEwrC2O3ovnA5X'];['rec1xistMWeE0KKml'];0.9006;2020-05-11T11:30:00.000Z;Manual
recXUMOgb8wmASWnl;2020-06-06T21:30:11.000Z;152;['recSEwrC2O3ovnA5X'];['rec1xistMWeE0KKml'];0.8599;2020-03-27T18:17:00.000Z;Manual
recXakzBeLLgQomm2;2020-06-06T21:26:07.000Z;143;['recSEwrC2O3ovnA5X'];['rec5h9Pn336ZrO9Fw'];0.8502;2020-03-17T18:18:00.000Z;Manual
recXxiWdiL6XqtvAw;2020-06-06T21:30:11.000Z;154;['recSEwrC2O3ovnA5X'];['rec1xistMWeE0KKml'];0.8408;2020-02-27T18:18:00.000Z;Manual
recYkhx0EQXRsvxcM;2020-06-06T21:25:46.000Z;106;['recSEwrC2O3ovnA5X'];['reclorU08L7PQsksS'];0.1569;2020-01-29T18:18:00.000Z;Manual
recZC7FpqHErDaDU6;2020-05-20T00:58:05.000Z;75;['recbEnhKV5KdOgEoR'];['recy0u3HVlJty3VwL'];0.626;2020-04-21T21:58:00.000Z;Manual
recZDVK8ki4BUjpSt;2020-06-06T21:26:07.000Z;138;['recSEwrC2O3ovnA5X'];['rec5h9Pn336ZrO9Fw'];0.8926;2020-05-11T11:30:00.000Z;Manual
